MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     397.49658 Sec       3/3/2022 5:20:28 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
0.609375  -1.195187 -3.451412
1.109375  -1.1935183 -3.3877268
1.609375  -1.1918554 -3.3342807
2.109375  -1.1901574 -3.3053172
2.609375  -1.1885014 -3.2532582
3.109375  -1.1868358 -3.1927736
3.609375  -1.1851352 -3.1470356
4.109375  -1.1835145 -3.1245849
4.609375  -1.1818041 -3.067765
5.109375  -1.1801709 -2.9985025
5.609375  -1.1784887 -2.9583151
6.109375  -1.1768802 -2.9288654
6.609375  -1.1751522 -2.8697262
7.109375  -1.1734864 -2.807704
7.609375  -1.1718105 -2.770539
8.109375  -1.1701347 -2.744823
8.609375  -1.1684705 -2.6904988
9.109375  -1.1668117 -2.6232841
9.609375  -1.1651379 -2.5862863
10.109375 -1.1635137 -2.5594537
10.609375 -1.1618165 -2.5083466
11.109375 -1.1601502 -2.4396577
11.609375 -1.1584892 -2.3940554
12.109375 -1.1568362 -2.3715637
12.609375 -1.1552074 -2.3300853
13.109375 -1.1534717 -2.2641938
13.609375 -1.1518654 -2.2018085
14.109375 -1.1501893 -2.1730883
14.609375 -1.1485028 -2.134377
15.109375 -1.1468459 -2.070694
15.609375 -1.1451228 -2.0187035
16.109375 -1.1434956 -1.9824528
16.609375 -1.1418144 -1.9520897
17.109375 -1.140159 -1.904161
17.609375 -1.1384875 -1.8374774
18.109375 -1.136822 -1.7949454
18.609375 -1.1351402 -1.7654701
19.109375 -1.1334932 -1.7242632
19.609375 -1.1317798 -1.6651155
20.109375 -1.1301576 -1.6081522
20.609375 -1.1284467 -1.5709077
21.109375 -1.1268233 -1.5396783
21.609375 -1.1251552 -1.4988631
22.109375 -1.1234987 -1.4317443
22.609375 -1.1218137 -1.3779379
23.109375 -1.1201413 -1.3410628
23.609375 -1.118499 -1.3132535
24.109375 -1.1168021 -1.2651857
24.609375 -1.115114 -1.2042166
25.109375 -1.1134748 -1.1537718
25.609375 -1.1118195 -1.1221522
26.109375 -1.1101782 -1.094794
26.609375 -1.1085174 -1.0458192
27.109375 -1.1068   -0.98796356
27.609375 -1.1051469 -0.94665933
28.109375 -1.1034926 -0.91446787
28.609375 -1.1017994 -0.87859881
29.109375 -1.1001461 -0.82561523
