MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     153.0708  Sec       3/3/2022 1:24:53 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
0.61035156 0.0012825535 1.0313492
1.1103516 0.0029103456 2.045239
1.6103516 0.0045473021 2.987977
2.1103516 0.0062242742 3.9756486
2.6103516 0.0079123555 4.9571495
3.1103516 0.0095482245 5.9574628
3.6103516 0.011234608 6.9152489
4.1103516 0.012912944 7.8461461
4.6103516 0.014554309 8.7727938
5.1103516 0.016227217 9.725338
5.6103516 0.017878149 10.670114
6.1103516 0.019590186 11.566799
6.6103516 0.02122619 12.444852
7.1103516 0.022889249 13.337675
7.6103516 0.024572639 14.203695
8.1103516 0.026232896 14.99468
8.6103516 0.027890341 15.705215
9.1103516 0.029564019 16.37361
9.6103516 0.031217435 16.94338
10.110352 0.032902218 17.373755
10.610352 0.034580048 17.698021
11.110352 0.036217637 17.902851
11.610352 0.037880275 17.957277
12.110352 0.039580639 17.96312
12.610352 0.041256238 17.948469
13.110352 0.042881224 17.97093
13.610352 0.044570643 17.972614
14.110352 0.046246823 17.962265
14.610352 0.047890596 17.94618
15.110352 0.049553033 17.950209
15.610352 0.051237628 17.951885
16.110352 0.052893199 17.941645
16.610352 0.054573387 17.942522
17.110352 0.056230802 17.96616
17.610352 0.057896867 17.971987
18.110352 0.059562076 17.96269
18.610352 0.061222471 17.989407
19.110352 0.062951706 17.983456
19.610352 0.064573333 17.970081
20.110352 0.066215366 17.962091
20.610352 0.06791193 18.115961
21.110352 0.069586515 18.175114
21.610352 0.07125324 18.218939
22.110352 0.072914697 18.268429
22.610352 0.074616842 18.312334
23.110352 0.076252095 18.341583
23.610352 0.077929862 18.405657
24.110352 0.07960093 18.456839
24.610352 0.081249811 18.47341
25.110352 0.082951032 18.523699
25.610352 0.084572673 18.569351
26.110352 0.086261831 18.589312
26.610352 0.087933354 18.632975
27.110352 0.089587905 18.686762
27.610352 0.091306046 18.723667
28.110352 0.092944369 18.75766
28.610352 0.094560899 18.814018
29.110352 0.096282803 18.837111
29.610352 0.097921699 18.871931
30.110352 0.099557422 18.926279
30.610352 0.10123373 18.962952
31.110352 0.10292675 18.99577
31.610352 0.10458352 19.043703
32.110352 0.10629373 19.080793
32.610352 0.10792953 19.105751
33.110352 0.1095743 19.141048
33.610352 0.11123318 19.195286
