MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     139.49658 Sec       3/3/2022 1:35:16 PM
Data Acquisition: Timed
Station Name: ftse.cfg
Test File Name: Default.tst
Time      Ch Disp.  Ch Force
Sec       in        kip
0.60742188 0.0018733871 0.53786016
1.1074219 0.0035183302 1.5594177
1.6074219 0.0051899161 2.5240288
2.1074219 0.0068183043 3.4893425
2.6074219 0.0084905112 4.4802947
3.1074219 0.010207491 5.4693222
3.6074219 0.011864387 6.4138207
4.1074219 0.013525766 7.3464484
4.6074219 0.015184094 8.2929821
5.1074219 0.016829258 9.2170076
5.6074219 0.018483846 10.123104
6.1074219 0.02015177 10.988697
6.6074219 0.021799214 11.879918
7.1074219 0.023477513 12.754138
7.6074219 0.025162404 13.621956
8.1074219 0.026827257 14.395513
8.6074219 0.028479353 15.176324
9.1074219 0.03017788 15.922135
9.6074219 0.031811807 16.562834
10.107422 0.033502791 17.049387
10.607422 0.035140954 17.376846
11.107422 0.036832727 17.605051
11.607422 0.038499046 17.667788
12.107422 0.040159754 17.737045
12.607422 0.041832328 17.790022
13.107422 0.043537345 17.820583
13.607422 0.045163739 17.846123
14.107422 0.046847731 17.823133
14.607422 0.04853173 17.71245
15.107422 0.05016201 17.772543
15.607422 0.051826335 17.808258
16.107422 0.053512305 17.837358
16.607422 0.055202007 17.894182
17.107422 0.056824978 17.919659
17.607422 0.058521174 17.938974
18.107422 0.060184352 17.949417
18.607422 0.061868377 17.917444
19.107422 0.063518912 17.848055
19.607422 0.065196298 17.933905
20.107422 0.066834748 17.948973
20.607422 0.068496473 18.024454
21.107422 0.070187479 18.116688
21.607422 0.071832292 18.186491
22.107422 0.073499911 18.244623
22.607422 0.075172588 18.2962
23.107422 0.076842003 18.334778
23.607422 0.078531615 18.359749
24.107422 0.080202714 18.403723
24.607422 0.081896774 18.450979
25.107422 0.083563261 18.499479
25.607422 0.085190177 18.543655
26.107422 0.086845271 18.575361
26.607422 0.088536076 18.606459
27.107422 0.090177521 18.648136
27.607422 0.091859549 18.698307
28.107422 0.09354151 18.744226
28.607422 0.095200345 18.798767
29.107422 0.096877985 18.829813
29.607422 0.098541573 18.869223
30.107422 0.10019211 18.900896
30.607422 0.1018559 18.946077
31.107422 0.10352409 18.988985
31.607422 0.1052112 19.033327
32.107422 0.10690448 19.069324
32.607422 0.10856647 19.090658
33.107422 0.11020183 19.136524
